YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours),,,,,,
2002,NV,"Combined Heat and Power, Electric Power",Total,"2,427,697",,,,,,
2002,NV,"Combined Heat and Power, Electric Power",Natural Gas,"2,382,788",,,,,,
2002,NV,"Combined Heat and Power, Electric Power",Other Gases,"44,909",,,,,,
2003,NV,Total Electric Power Industry,Total,"33,194,888",,,,,,
2003,NV,Total Electric Power Industry,Coal,"17,085,959",,,,,,
2003,NV,Total Electric Power Industry,Geothermal,"1,065,711",,,,,,
2003,NV,Total Electric Power Industry,Hydroelectric Conventional,"1,756,705",,,,,,
2003,NV,Total Electric Power Industry,Natural Gas,"13,252,779",,,,,,
2003,NV,Total Electric Power Industry,Other Gases,"16,941",,,,,,
2003,NV,Total Electric Power Industry,Petroleum,"16,793",,,,,,
2003,NV,"Electric Generators, Independent Power Producers",Total,"5,324,279",,,,,,
2003,NV,"Electric Generators, Independent Power Producers",Geothermal,"1,065,711",,,,,,
2003,NV,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"8,767",,,,,,
2003,NV,"Electric Generators, Independent Power Producers",Natural Gas,"4,249,801",,,,,,
2003,NV,"Electric Generators, Independent Power Producers",Petroleum,0,,,,,,
2003,NV,"Electric Generators, Electric Utilities",Total,"24,634,871",,,,,,
2003,NV,"Electric Generators, Electric Utilities",Coal,"17,085,959",,,,,,
2003,NV,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,747,938",,,,,,
2003,NV,"Electric Generators, Electric Utilities",Natural Gas,"5,784,181",,,,,,
2003,NV,"Electric Generators, Electric Utilities",Petroleum,"16,793",,,,,,
2003,NV,"Combined Heat and Power, Electric Power",Total,"3,235,738",,,,,,
2003,NV,"Combined Heat and Power, Electric Power",Natural Gas,"3,218,797",,,,,,
2003,NV,"Combined Heat and Power, Electric Power",Other Gases,"16,941",,,,,,
2004,NV,Total Electric Power Industry,Total,"37,667,435",,,,,,
2004,NV,Total Electric Power Industry,Coal,"18,257,265",,,,,,
2004,NV,Total Electric Power Industry,Geothermal,"1,297,504",,,,,,
2004,NV,Total Electric Power Industry,Hydroelectric Conventional,"1,615,123",,,,,,
2004,NV,Total Electric Power Industry,Natural Gas,"16,380,743",,,,,,
2004,NV,Total Electric Power Industry,Other Gases,"21,033",,,,,,
2004,NV,Total Electric Power Industry,Petroleum,"95,766",,,,,,
2004,NV,"Electric Generators, Independent Power Producers",Total,"11,022,120",,,,,,
2004,NV,"Electric Generators, Independent Power Producers",Geothermal,"1,297,504",,,,,,
2004,NV,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"9,920",,,,,,
2004,NV,"Electric Generators, Independent Power Producers",Natural Gas,"9,714,695",,,,,,
2004,NV,"Electric Generators, Independent Power Producers",Petroleum,0,,,,,,
2004,NV,"Electric Generators, Electric Utilities",Total,"24,246,391",,,,,,
2004,NV,"Electric Generators, Electric Utilities",Coal,"18,257,265",,,,,,
2004,NV,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,605,203",,,,,,
2004,NV,"Electric Generators, Electric Utilities",Natural Gas,"4,288,157",,,,,,
2004,NV,"Electric Generators, Electric Utilities",Petroleum,"95,766",,,,,,
